%Apps,Number of Apps,Topic#,W1,W2,W3,W4,W5,W6,W7
4.13,35553,0, 0.020*game , 0.012*enemy , 0.010*world , 0.009*battle , 0.009*collect , 0.009*monster , 0.008*different 
0.15,1251,1, 0.038*flower , 0.026*catalog , 0.017*gear , 0.007*thread , 0.006*hiking , 0.006*wiki , 0.006*flyer 
0.75,6490,2, 0.078*music , 0.063*song , 0.056*play , 0.023*musical , 0.020*guess , 0.017*instrument , 0.017*note 
3.80,32731,3, 0.061*child , 0.038*kid , 0.020*story , 0.016*learn , 0.013*interactive , 0.012*learning , 0.011*game 
0.58,4960,4, 0.050*face , 0.034*friend , 0.033*funny , 0.024*magic , 0.023*trivia , 0.022*trick , 0.022*entertainment 
4.39,37771,5, 0.051*news , 0.037*latest , 0.023*event , 0.022*access , 0.021*information , 0.020*mobile , 0.015*official 
0.36,3074,6, 0.077*movie , 0.032*club , 0.022*hair , 0.019*title , 0.014*mouse , 0.011*salon , 0.010*tennis 
0.59,5124,7, 0.032*hidden , 0.031*fish , 0.024*game , 0.021*object , 0.019*find , 0.017*adventure , 0.017*water 
1.72,14844,8, 0.028*order , 0.021*restaurant , 0.018*vehicle , 0.017*deal , 0.017*customer , 0.016*offer , 0.016*special 
3.64,31327,9, 0.034*like , 0.026*want , 0.022*know , 0.019*love , 0.017*would , 0.017*make , 0.015*people 
1.05,9076,10, 0.084*file , 0.033*document , 0.022*download , 0.019*support , 0.013*video , 0.012*device , 0.011*cloud 
1.70,14619,11, 0.047*language , 0.044*english , 0.025*chinese , 0.025*word , 0.023*phrase , 0.021*dictionary , 0.016*spanish 
1.31,11272,12, 0.015*life , 0.015*love , 0.011*heart , 0.010*little , 0.009*dream , 0.009*girl , 0.008*beautiful 
0.56,4805,13, 0.078*school , 0.027*holiday , 0.022*reward , 0.018*dance , 0.017*wedding , 0.017*plant , 0.014*parent 
